V1,V2,V3,V4,V5,V6,V7,sample size,MLM.ES.int,MLM.ES.x,MLM.ES.w,MLM.ES.xw,power.MLM.x,power.MLM.w,power.MLM.xw,converge.rate,relative bias.intercept,relative bias.x,relative bias.w,relative bias.xw
30,0.2,0.004,2,0.5,20,1,600,1.818376166,0.267115284,0.284884009,-0.027129077,1,1,0.411,1,0.090811917,0.465769432,0.430231982,1.135645385
50,0.2,0.004,2,0.5,20,2,1000,1.818107735,0.266908925,0.282476337,-0.027098411,1,1,0.4,1,0.090946133,0.46618215,0.435047326,1.135492055
100,0.2,0.004,2,0.5,20,3,2000,1.8190944,0.265863645,0.283960651,-0.026045778,1,1,0.391,1,0.0904528,0.46827271,0.432078698,1.13022889
30,0.45,0.004,2,0.5,20,4,600,1.80675334,0.219301408,0.237992391,0.098105436,1,1,0.952,1,0.09662333,0.561397184,0.524015218,0.78198792
50,0.45,0.004,2,0.5,20,5,1000,1.805532177,0.217621211,0.238343508,0.098625112,1,1,0.953,1,0.097233912,0.564757578,0.523312984,0.780833084
100,0.45,0.004,2,0.5,20,6,2000,1.805825447,0.218097381,0.237798162,0.097579975,1,1,0.946,1,0.097087277,0.563805238,0.524403676,0.783155611
30,0.2,0.0015,2,0.5,20,7,600,1.816831104,0.266722255,0.283522116,-0.026095877,1,1,0.519,1,0.091584448,0.46655549,0.432955768,1.130479385
50,0.2,0.0015,2,0.5,20,8,1000,1.817794292,0.266881705,0.281977864,-0.027131391,1,1,0.537,1,0.091102854,0.46623659,0.436044272,1.135656955
100,0.2,0.0015,2,0.5,20,9,2000,1.817144912,0.26624011,0.283989466,-0.026109075,1,1,0.53,1,0.091427544,0.46751978,0.432021068,1.130545375
30,0.45,0.0015,2,0.5,20,10,600,1.803713387,0.216860243,0.235622674,0.096335074,1,1,0.992,1,0.098143307,0.566279514,0.528754652,0.785922058
50,0.45,0.0015,2,0.5,20,11,1000,1.803230909,0.215660864,0.236702336,0.096998086,1,1,0.998,1,0.098384546,0.568678272,0.526595328,0.784448698
100,0.45,0.0015,2,0.5,20,12,2000,1.803543093,0.215618013,0.236853127,0.098337955,1,1,0.99,1,0.098228454,0.568763974,0.526293746,0.781471211
30,0.2,0.001,2,0.5,20,13,600,1.815436118,0.265006092,0.282426043,-0.026677435,1,1,0.76,1,0.092281941,0.469987816,0.435147914,1.133387175
50,0.2,0.001,2,0.5,20,14,1000,1.815813143,0.265417876,0.282638848,-0.026887167,1,1,0.765,1,0.092093429,0.469164248,0.434722304,1.134435835
100,0.2,0.001,2,0.5,20,15,2000,1.815881847,0.265666942,0.282339584,-0.026432043,1,1,0.753,1,0.092059077,0.468666116,0.435320832,1.132160215
30,0.45,0.001,2,0.5,20,16,600,1.802197745,0.215454789,0.234914454,0.09504887,1,1,1,1,0.098901128,0.569090422,0.530171092,0.788780289
50,0.45,0.001,2,0.5,20,17,1000,1.802431408,0.215497138,0.235095604,0.096074196,1,1,1,1,0.098784296,0.569005724,0.529808792,0.786501787
100,0.45,0.001,2,0.5,20,18,2000,1.801734234,0.215416906,0.235106526,0.096159584,1,1,1,1,0.099132883,0.569166188,0.529786948,0.786312036
